Customer-ID,ProductID,PurchaseQuantity,Categories,Products,CustomerName,Gender
CUSTIDXX-1,PRODOXIID22,10,Meat and Seafood,Pork,Brian Weiss,F
CUSTIDXX-2,PRODOXIID42,7,Frozen Foods,    Frozen Meals,Samantha Wagner,F
CUSTIDXX-3,PRODOXIID64,22,Snacks and Beverages,    Nuts,Karen Wise,F
CUSTIDXX-5,PRODOXIID213,13,Toys and Games,    Action Figure,Douglas Bond,F
CUSTIDXX-7,PRODOXIID288,21,Ethnic Foods,    Middle Eastern Hummus,Megan Clark,F
CUSTIDXX-13,PRODOXIID264,15,Books Music and Movies,    Blu-ray Movie,Christina Evans,F
CUSTIDXX-24,PRODOXIID181,4,Hygiene,    Glass Cleaner,Wendy May,F
CUSTIDXX-26,PRODOXIID260,17,Books Music and Movies,    Novel,Ashley Horton,F
CUSTIDXX-28,PRODOXIID6,19,Produce,Onions,Dawn Chen,F
CUSTIDXX-30,PRODOXIID61,12,Snacks and Beverages,    Popcorn,Andres Fuentes,F
CUSTIDXX-31,PRODOXIID153,16,Pet Supplies,    Cat Litter,Victoria Booker,F
CUSTIDXX-32,PRODOXIID125,5,Household Essentials,    Dish Soap,Jennifer Matthews,F
CUSTIDXX-34,PRODOXIID202,21,Home and Kitchen,    Cookware Set,Randy Davis,F
CUSTIDXX-40,PRODOXIID29,6,Meat and Seafood,Lamb,Jorge Hansen,F
CUSTIDXX-42,PRODOXIID11,5,Dairy ,Cheese,Kayla Johnson,F
CUSTIDXX-43,PRODOXIID269,6,Books Music and Movies,    Self-Help Book,Kathryn Sullivan,F
CUSTIDXX-44,PRODOXIID151,18,Pet Supplies,    Cat Food,Dawn Sanders,F
CUSTIDXX-45,PRODOXIID153,3,Pet Supplies,    Cat Litter,Robert Klein,F
CUSTIDXX-48,PRODOXIID89,23,Breakfast and Cereal,    Breakfast Burritos,Anna Patton,F
CUSTIDXX-49,PRODOXIID38,22,Bakery,Pies,Alyssa Davis,F
CUSTIDXX-50,PRODOXIID100,4,Baking Supplies,    Flour,Sheila Baldwin,F
CUSTIDXX-53,PRODOXIID158,6,Pet Supplies,    Bird Seed,Jermaine Barker,F
CUSTIDXX-54,PRODOXIID29,16,Meat and Seafood,Lamb,Robert Roberts,F
CUSTIDXX-58,PRODOXIID54,24,Canned and Packaged Goods,    Pasta Sauce,Kim Hernandez,F
CUSTIDXX-59,PRODOXIID136,14,Personal Care and Beauty,    Deodorant,Joshua Fletcher,F
CUSTIDXX-60,PRODOXIID274,10,Sports and Fitness,    Fitness Tracker,Benjamin Dixon,F
CUSTIDXX-62,PRODOXIID83,19,Breakfast and Cereal,    Maple Syrup,David Sanchez,F
CUSTIDXX-63,PRODOXIID12,24,Dairy ,Yogurt,Angela Stephens,F
CUSTIDXX-67,PRODOXIID278,13,Sports and Fitness,    Gym Bag,Taylor Wilson,F
CUSTIDXX-68,PRODOXIID267,2,Books Music and Movies,    Travel Guide,Michele Lee,F
CUSTIDXX-74,PRODOXIID172,5,Office and School Supplies,    Highlighters,Joshua Hunter,F
CUSTIDXX-80,PRODOXIID216,21,Toys and Games,    Play-Doh Set,David Bass,F
CUSTIDXX-83,PRODOXIID180,3,Hygiene,    All-Purpose Cleaner,Patricia Sawyer,F
CUSTIDXX-86,PRODOXIID61,25,Snacks and Beverages,    Popcorn,Noah Graham,F
CUSTIDXX-87,PRODOXIID247,12,Seasonal Items,    Spring Planters,Jenna Harris,F
CUSTIDXX-88,PRODOXIID255,17,Outdoor and Garden,    Hammock,Richard Bennett,F
CUSTIDXX-90,PRODOXIID127,19,Household Essentials,    Batteries,Bethany Smith,F
CUSTIDXX-93,PRODOXIID182,12,Hygiene,    Disinfectant Spray,Kimberly Heath,F
CUSTIDXX-94,PRODOXIID55,9,Canned and Packaged Goods,    Canned Fruit,Felicia Gonzalez,F
CUSTIDXX-95,PRODOXIID68,13,Snacks and Beverages,    Bottled Water,Cindy Willis,F
CUSTIDXX-98,PRODOXIID243,19,Seasonal Items,    Thanksgiving Decorations,Victoria Reid,F
CUSTIDXX-99,PRODOXIID39,6,Bakery,Rolls,Scott Lopez,F
CUSTIDXX-100,PRODOXIID25,4,Meat and Seafood,Lobster,Nicolas Dawson,F
CUSTIDXX-101,PRODOXIID250,5,Outdoor and Garden,    Lawn Mower,Linda Gonzalez,F
CUSTIDXX-102,PRODOXIID244,3,Seasonal Items,    Valentine's Day Cards,Vanessa Chapman,F
CUSTIDXX-103,PRODOXIID119,10,Beverages,    Sparkling Water,Christina Lynch,F
CUSTIDXX-111,PRODOXIID182,21,Hygiene,    Disinfectant Spray,Amanda Delgado,F
CUSTIDXX-113,PRODOXIID202,17,Home and Kitchen,    Cookware Set,Troy Martin,F
CUSTIDXX-114,PRODOXIID266,20,Books Music and Movies,    Children's Book,Sarah Wu,F
CUSTIDXX-120,PRODOXIID155,3,Pet Supplies,    Pet Shampoo,Daniel Mueller,F
CUSTIDXX-121,PRODOXIID154,5,Pet Supplies,    Dog Toys,Kaitlyn Hodge,F
CUSTIDXX-124,PRODOXIID10,12,Dairy ,Milk,Craig Garrison,F
CUSTIDXX-126,PRODOXIID290,23,Deli and Prepared Foods,    Deli Sandwich,Emily Hall,F
CUSTIDXX-127,PRODOXIID254,5,Outdoor and Garden,    Garden Tools,Cheryl Brown,F
CUSTIDXX-128,PRODOXIID294,12,Deli and Prepared Foods,    Pasta Salad,Lydia Sullivan,F
CUSTIDXX-130,PRODOXIID215,11,Toys and Games,    Remote Control Car,Lori Lopez,F
CUSTIDXX-131,PRODOXIID3,7,Produce,Lettuce,Matthew Short,F
CUSTIDXX-132,PRODOXIID163,8,Medical Supplies,    Allergy Medication,James Fisher,F
CUSTIDXX-133,PRODOXIID231,8,Automotive and Hardware,    Car Battery,Dana Johnson,F
CUSTIDXX-134,PRODOXIID62,1,Snacks and Beverages,    Pretzels,Matthew Pierce,F
CUSTIDXX-137,PRODOXIID151,20,Pet Supplies,    Cat Food,David Smith DVM,F
CUSTIDXX-140,PRODOXIID191,18,Electronics and Appliances,    Phone Chargers,Lauren Saunders,F
CUSTIDXX-144,PRODOXIID51,1,Canned and Packaged Goods,    Canned Vegetables,Garrett Schneider,F
CUSTIDXX-148,PRODOXIID30,25,Bakery,Bread,Charles Spencer,F
CUSTIDXX-149,PRODOXIID95,25,Pasta Rice and Grains,    Instant Rice,Patricia Perez,F
CUSTIDXX-151,PRODOXIID14,18,Dairy ,Eggs,Brooke Martinez,F
CUSTIDXX-153,PRODOXIID111,1,Beverages,    Tea Bags,Linda Williams,F
CUSTIDXX-155,PRODOXIID198,1,Electronics and Appliances,    Surge Protectors,Alyssa Stuart,F
CUSTIDXX-156,PRODOXIID49,4,Frozen Foods,    Frozen Waffles,John Terry,F
CUSTIDXX-157,PRODOXIID104,6,Baking Supplies,    Vanilla Extract,Kylie Garcia,F
CUSTIDXX-163,PRODOXIID210,8,Toys and Games,    Board Game,Mitchell Moore,F
CUSTIDXX-171,PRODOXIID252,14,Outdoor and Garden,    Patio Furniture Set,Brandon Villanueva,F
CUSTIDXX-173,PRODOXIID97,21,Pasta Rice and Grains,    Rice Noodles,Kevin Walker,F
CUSTIDXX-175,PRODOXIID36,1,Bakery,Brownies,Brittney Hall,F
CUSTIDXX-177,PRODOXIID159,19,Pet Supplies,    Fish Food,Elizabeth Wyatt,F
CUSTIDXX-178,PRODOXIID132,7,Personal Care and Beauty,    Body Wash,Jennifer Nolan,F
CUSTIDXX-179,PRODOXIID201,2,Home and Kitchen,    Blender,Eric Ballard,F
CUSTIDXX-180,PRODOXIID213,23,Toys and Games,    Action Figure,James Lewis,F
CUSTIDXX-181,PRODOXIID166,7,Medical Supplies,    Thermometers,Brian Buck,F
CUSTIDXX-182,PRODOXIID181,3,Hygiene,    Glass Cleaner,Mathew Smith,F
CUSTIDXX-183,PRODOXIID213,6,Toys and Games,    Action Figure,Dave Harrington,F
CUSTIDXX-186,PRODOXIID63,6,Snacks and Beverages,    Crackers,Jorge Gray,F
CUSTIDXX-192,PRODOXIID193,4,Electronics and Appliances,    USB Cables,Richard Castillo,F
CUSTIDXX-196,PRODOXIID151,9,Pet Supplies,    Cat Food,Natasha Meza,F
CUSTIDXX-197,PRODOXIID7,16,Produce,Spinach,Ashley Waters,F
CUSTIDXX-200,PRODOXIID277,18,Sports and Fitness,    Water Bottles,Ryan Baker Jr.,F
CUSTIDXX-202,PRODOXIID217,11,Toys and Games,    Building Blocks,Heather Williams,F
CUSTIDXX-203,PRODOXIID92,19,Pasta Rice and Grains,    Quinoa,John Nguyen,F
CUSTIDXX-204,PRODOXIID291,15,Deli and Prepared Foods,    Salad Bar,Luis Smith,F
CUSTIDXX-206,PRODOXIID63,3,Snacks and Beverages,    Crackers,Rebecca Bell,F
CUSTIDXX-207,PRODOXIID45,12,Frozen Foods,    Frozen Pizza,Jessica Marshall,F
CUSTIDXX-208,PRODOXIID78,23,Condiments and Sauces,    Pickles,Taylor Flores,F
CUSTIDXX-209,PRODOXIID298,18,Deli and Prepared Foods,    Soup of the Day,Jamie Spencer,F
CUSTIDXX-211,PRODOXIID283,3,Ethnic Foods,    Italian Pasta Sauce,Daniel Davis,F
CUSTIDXX-213,PRODOXIID130,19,Personal Care and Beauty,    Shampoo,Natalie Jones,F
CUSTIDXX-216,PRODOXIID58,17,Canned and Packaged Goods,    Boxed Macaroni and Cheese,Nicole Daniels,F
CUSTIDXX-218,PRODOXIID284,13,Ethnic Foods,    Thai Jasmine Rice,Isabella Adams,F
CUSTIDXX-220,PRODOXIID81,23,Breakfast and Cereal,    Oatmeal,Lauren Mcknight,F
CUSTIDXX-225,PRODOXIID123,2,Household Essentials,    Cleaning Wipes,Karen Butler,F
CUSTIDXX-226,PRODOXIID137,14,Personal Care and Beauty,    Razors,Jason Woodward,F
CUSTIDXX-227,PRODOXIID110,15,Beverages,    Coffee Beans,Mary Warren,F
CUSTIDXX-228,PRODOXIID188,19,Hygiene,    Sponges,Janice Fox,F
CUSTIDXX-234,PRODOXIID50,13,Canned and Packaged Goods,    Canned Beans,Sara Norman,F
CUSTIDXX-237,PRODOXIID50,4,Canned and Packaged Goods,    Canned Beans,Ronald Smith,F
CUSTIDXX-239,PRODOXIID4,14,Produce,Tomato,Kyle Wood,F
CUSTIDXX-241,PRODOXIID166,24,Medical Supplies,    Thermometers,Kathryn Williams,F
CUSTIDXX-243,PRODOXIID227,21,Apparel and Accessories        ,    Sunglasses,Michelle Dawson,F
CUSTIDXX-246,PRODOXIID48,6,Frozen Foods,    Frozen Fish Fillets,Christine Martinez,F
CUSTIDXX-247,PRODOXIID287,18,Ethnic Foods,    Korean Kimchi,Patricia Lawson,F
CUSTIDXX-248,PRODOXIID140,8,Baby and Toddler,    Diapers,Alejandro Beck,F
